id,alt,date,InBurrow,x,y
tm2,108.55,18/11/2014 18:45,0,451655.4,7974239
tm2,101.72,18/11/2014 18:54,0,451546.5,7974248
tm2,102.7,18/11/2014 19:07,0,451803,7974199
tm2,84.7,18/11/2014 19:11,0,451783.7,7974196
tm2,55.66,18/11/2014 19:22,0,451923.9,7974083
tm2,125.35,18/11/2014 19:27,0,451979.5,7974065
tm2,115.82,18/11/2014 19:32,0,452050.8,7974066
tm2,81.03,18/11/2014 19:37,0,452023,7974096
tm2,97.65,18/11/2014 19:52,0,452115.8,7974035
tm2,47.86,18/11/2014 20:07,0,451777.7,7973825
tm2,97.63,18/11/2014 20:12,0,451879.4,7973779
tm2,83.22,18/11/2014 20:17,0,451873,7973756
tm2,59.3,18/11/2014 20:22,0,451863,7973758
tm2,71.97,18/11/2014 20:27,0,451857.7,7973755
tm2,108.88,18/11/2014 20:32,0,451876.7,7973748
tm2,117.76,18/11/2014 20:41,0,451880.8,7973734
tm2,119.46,18/11/2014 20:46,0,451873.1,7973734
tm2,101.87,18/11/2014 20:51,0,451862.2,7973731
tm2,91.93,18/11/2014 20:56,0,451859.5,7973729
tm2,69.42,18/11/2014 21:01,0,451839.7,7973728
tm2,115.03,18/11/2014 21:06,0,451867,7973740
tm2,98.34,18/11/2014 21:11,0,451848.9,7973735
tm2,82.84,18/11/2014 21:16,0,451819.5,7973736
tm2,83.6,18/11/2014 21:21,0,451811.5,7973736
tm2,89.91,18/11/2014 21:26,0,451813.8,7973741
tm2,89.97,18/11/2014 21:31,0,451793.3,7973744
tm2,88.6,18/11/2014 21:36,0,451815.9,7973743
tm2,63.76,18/11/2014 21:41,0,451803.4,7973726
tm2,89.00999,18/11/2014 21:46,0,451804.6,7973741
tm2,97.25999,18/11/2014 21:51,0,451802.6,7973744
tm2,77.17,18/11/2014 21:56,0,451795.7,7973733
tm2,90.25,18/11/2014 22:06,0,451786,7973734
tm2,95.81,18/11/2014 22:18,0,451772.7,7973745
tm2,90.09,18/11/2014 22:23,0,451763.8,7973753
tm2,89.99,18/11/2014 22:28,0,451746.1,7973773
tm2,90.64,18/11/2014 22:33,0,451728.8,7973767
tm2,90.5,18/11/2014 22:37,0,451739.2,7973762
tm2,104.97,18/11/2014 22:42,0,451736,7973758
tm2,81.96,18/11/2014 22:47,0,451723.2,7973727
tm2,109.7,18/11/2014 22:52,0,451717.6,7973707
tm2,96.8,18/11/2014 22:57,0,451723.2,7973723
tm2,94.96,18/11/2014 23:02,0,451724,7973719
tm2,84.82,18/11/2014 23:06,0,451724.4,7973727
tm2,89.84,18/11/2014 23:11,0,451727.1,7973741
